num_steps,num_episodes,total_reward,avg_reward
2144.0,1.0,1677.8624267578125,1677.8624267578125
133.0,24.0,127.51399993896484,5.313083171844482
271.0,1.0,258.47003173828125,258.47003173828125
717.0,1.0,688.37109375,688.37109375
977.0,1.0,894.0573120117188,894.0573120117188
267.0,1.0,253.05189514160156,253.05189514160156
272.0,1.0,254.3338165283203,254.3338165283203
189.0,8.0,99.61400604248047,12.451750755310059
1022.0,1.0,960.798583984375,960.798583984375
2144.0,1.0,2055.759033203125,2055.759033203125
271.0,1.0,250.90797424316406,250.90797424316406
281.0,1.0,275.4947814941406,275.4947814941406
682.0,1.0,639.5326538085938,639.5326538085938
364.0,1.0,343.1297607421875,343.1297607421875
957.0,1.0,910.0120849609375,910.0120849609375
1531.0,1.0,1396.1107177734375,1396.1107177734375
563.0,1.0,334.55810546875,334.55810546875
128.0,28.0,124.07501220703125,4.43125057220459
947.0,1.0,652.4878540039062,652.4878540039062
129.0,9.0,92.79900360107422,10.31100082397461
131.0,26.0,127.38500213623047,4.899423122406006
129.0,27.0,124.35600280761719,4.605777740478516
130.0,26.0,123.84698486328125,4.763345718383789
132.0,27.0,127.0479965209961,4.70548152923584
131.0,31.0,128.26800537109375,4.1376776695251465
131.0,24.0,125.4209976196289,5.225874900817871
128.0,27.0,122.68000793457031,4.543704032897949
130.0,29.0,125.8709945678711,4.340379238128662
131.0,29.0,125.11898040771484,4.314447402954102
129.0,30.0,125.60400390625,4.186800003051758
135.0,30.0,131.12600708007812,4.370866775512695
130.0,29.0,127.19599914550781,4.386068820953369
128.0,30.0,124.50799560546875,4.150266647338867
129.0,31.0,126.27999877929688,4.073548316955566
132.0,29.0,127.8320083618164,4.408000469207764
128.0,31.0,125.0679931640625,4.034451484680176
131.0,29.0,127.42899322509766,4.394103050231934
129.0,27.0,124.95201110839844,4.627852439880371
130.0,31.0,125.87600708007812,4.060516357421875
134.0,31.0,129.875,4.189516067504883
128.0,28.0,124.98799896240234,4.463857173919678
130.0,29.0,125.57301330566406,4.330103874206543
129.0,28.0,125.3189926147461,4.475678443908691
129.0,29.0,125.27999114990234,4.319999694824219
129.0,33.0,125.9329833984375,3.8161509037017822
128.0,32.0,125.42501068115234,3.9195315837860107
130.0,30.0,126.86000061035156,4.22866678237915
130.0,28.0,125.88301086425781,4.495821952819824
128.0,30.0,124.94801330566406,4.164933681488037
128.0,26.0,124.11800384521484,4.773769378662109
130.0,28.0,125.72900390625,4.490321636199951
129.0,32.0,125.10501098632812,3.909531593322754
130.0,28.0,126.77901458740234,4.527822017669678
131.0,33.0,127.65801239013672,3.868424654006958
131.0,33.0,128.18899536132812,3.8845150470733643
130.0,26.0,126.59501647949219,4.869039058685303
128.0,30.0,123.96699523925781,4.132233142852783
128.0,29.0,124.22799682617188,4.283723831176758
133.0,29.0,127.93401336669922,4.41151762008667
130.0,28.0,123.60301208496094,4.414393424987793
132.0,28.0,128.80599975585938,4.60021448135376
129.0,28.0,124.95500183105469,4.4626784324646
130.0,32.0,126.37200927734375,3.949125289916992
128.0,27.0,124.31000518798828,4.604074478149414
134.0,33.0,130.39199829101562,3.95127272605896
132.0,29.0,128.125,4.418103218078613
128.0,28.0,122.8890151977539,4.3888936042785645
131.0,31.0,128.05599975585938,4.130838871002197
129.0,30.0,126.29701232910156,4.209900379180908
128.0,29.0,124.99401092529297,4.31013822555542
